news;internet;politics;lrscale;obedience;health;religious;relattend;livewomarr;divorced;edu3;edu6;zamieszkanie3;rozwod_balanced
15;5;2;5;4;4;8;3;2;2;2;4;3; 
15;5;2;7;2;2;5;4;2;2;2;3;2; 
15;5;2;8;4;2;4;6;1;2;2;3;2; 
15;5;3; ;3;2;8;3; ;2;3;6;3;2
15;5;3; ;3;3; ; ;2;2;3;5;1;2
15;5;3;1;4;2;0;7;2;2;1;1;1; 
15;5;3;1;4;2;7;7;1;2;3;5;1; 
15;5;3;2;2;3;5;5;1;2;3;5;1; 
15;5;3;2;2;3;5;5;2;2;2;3;2; 
15;5;3;2;4;1;5;5; ;2;2;3;2; 
15;5;3;2;4;2;2;7; ;2;3;6;3; 
15;5;3;4;2;5;10;2;2;2;2;3;2; 
15;5;3;5;1;2;5;6;1;2;2;4;2; 
15;5;3;5;1;2;6;3;2;2;1;2;3; 
15;5;3;5;2;1;6;7; ; ; ; ;2; 
15;5;3;5;2;2; ;4;2;2;1;1;2;2
15;5;3;5;2;2;0;7;2;2;3;6;2; 
15;5;3;5;2;2;2;5;2;1;2;3;2;1
15;5;3;5;2;2;5;5;2;2;1;1;1; 
15;5;3;5;2;2;8;3;2;2;1;1;1; 
15;5;3;5;3;1;6;4;2;2;2;4;3; 
15;5;3;5;3;3;1;7;2;2; ; ;1; 
15;5;3;5;4;2;9;3;2;2;3;6;3; 
15;5;3;6;2;3;8;4;1;2;3;6;3; 
15;5;3;6;4;3;5;3;2;2;2;3;2; 
15;5;3;7;4;2;7;5; ;2;2;3;1; 
15;5;3;7;4;2;8;3;2;2;2;4;1; 
15;5;3;8;2;2;4;5;1;2;2;3;2; 
15;5;3;8;2;3;7;3;1;1;3;6;1;1
15;5;3;8;4;2;0;6;1;2;3;6;2; 
15;5;3;9;4;3;4;3;2;2;1;1;2; 
15;5;3;10;2;2;8;3;2;2;3;6;3; 
15;5;3;10;2;2;10;1;2;2;2;4;3; 
15;5;3;10;2;3;7;3;2;2;2;4;2; 
15;5;4; ;2;2;2;5;2;2;1;1;2; 
15;5;4;0;4;2;8;5;2;2;2;3;2; 
15;5;4;1;3;3;0;7;2;2;2;4;1; 
15;5;4;2;3;2;4;6;1;2;2;3;1; 
15;5;4;3;3;2;5;6;1;2;2;4;1; 
15;5;4;3;5;3;0;6;1;2;3;6;3; 
15;5;4;5;1;3;5;4; ;2;2;4;3; 
15;5;4;5;2;1;0;5;1;2;2;3;2; 
15;5;4;5;2;2;8;3;2;2;2;4;3; 
15;5;4;5;2;4;2;7; ;2;2;4;1; 
15;5;4;5;3;2;8;5;1;2;3;6;2; 
15;5;4;5;3;3;5;5;1;2;2;4;1; 
15;5;4;5;4;2;2;7;1;2;2;4;3; 
15;5;4;5;4;2;3;6; ;2;3;5;2; 
15;5;4;5;4;2;6;5;2;2;1;2;3; 
15;5;4;7;2;3;7;5;2;2;2;4;2; 
15;5;4;7;4;2;1;2;1;2;1;1;3; 
15;5;4;8;2;2;10;3;2;2;3;6;3; 
20; ;3;5;3;2;0;7;2;2;2;3;2; 
20; ;3;7;3;2;6;4;1;2;3;6;3; 
20; ;3;9;2;2;9;2;2;2;3;5;2; 
20;1;3;4;4;2;7;3;2;2;1;1;3; 
20;1;3;5;3;2;6;3;2;2;2;3;1; 
20;1;3;10;1;3;9;2;2;2;1;2;2; 
20;1;3;10;2;3;8;3;2;1;2;3;1;1
20;1;3;10;2;3;10;2;2;2;1;1;3;2
20;1;4;2;3;4;9;2;1;2;1;2;2; 
20;2;2;10;1;3;3;5;2;2;1;2;3; 
