news;internet;politics;lrscale;obedience;health;religious;relattend;livewomarr;divorced;edu3;edu6;zamieszkanie3;rozwod_balanced
60;5;2;5;3;3;3;5;2;2;2;3;3; 
60;5;3;6;2;2;99;3;1;2;2;3;3; 
20;5;9;5;2;2;7;2;1;2;2;3;3; 
20;5;3;6;2;3;8;4;2;2;2;3;3; 
120;4;2;3;4;3;5;4;2;2;2;3;3; 
60;5;3;5;2;2;3;5;2;2;2;3;3; 
60;5;2;6;2;3;7;4;1;2;2;3;3; 
60;2;3;1;2;2;0;6;2;2;2;3;3; 
90;4;2;0;2;2;6;7;2;2;2;3;3; 
300;5;1;10;5;1;10;5;1;2;2;3;3; 
60;4;3;5;3;2;7;4;2;2;2;3;3; 
140;5;2;8;2;2;9;4;2;2;2;3;3; 
60;5;3;5;3;2;4;5;2;2;2;3;3; 
150;4;3;0;3;2;6;5;2;2;2;3;3; 
150;1;2;10;2;4;10;1;2;2;2;3;3; 
150;5;2;7;2;3;9;2;2;2;2;3;3; 
30;5;3;10;1;2;6;5;2;2;2;3;3; 
30;5;3;5;2;2;4;5;2;2;2;3;3; 
210;1;1;10;1;3;10;1;2;2;2;3;3; 
30;5;3;6;1;2;6;4;2;2;2;3;3; 
30;5;2;5;2;3;5;5;1;2;2;3;3; 
5;5;3;5;2;4;7;3;2;2;2;3;3; 
90;5;2;3;5;2;0;7;2;2;2;3;3; 
20;5;3;10;1;2;4;4;1;2;2;3;3; 
45;5;3;4;2;2;5;5;9;2;2;3;3; 
70;4;2;5;2;2;5;3;1;2;2;3;3; 
150;4;2;0;2;2;3;5;2;2;2;3;3; 
150;1;1;0;2;2;5;3;2;2;2;3;3; 
120;1;3;10;1;3;10;2;2;2;2;3;3; 
210;5;1;0;4;3;0;7;1;2;2;3;3; 
150;5;2;5;2;2;1;7;1;2;2;3;3; 
40;5;3;4;4;3;5;3;2;2;2;3;3; 
150;4;3;5;2;3;5;5;2;2;2;3;3; 
120;5;2;0;3;2;6;6;1;2;2;3;3; 
30;5;3;7;3;5;8;3;2;2;2;3;3; 
10;5;3;5;3;3;0;6;6;2;2;3;3; 
680;1;3;4;2;4;2;5;2;2;2;3;3; 
60;5;3;9;3;2;7;5;2;2;2;3;3; 
15;2;4;99;2;2;10;3;2;2;2;3;3; 
80;4;3;8;3;3;10;3;2;2;2;3;3; 
120;3;3;5;3;1;5;3;2;2;2;3;3; 
10;4;3;0;2;3;9;3;1;2;2;3;3; 
180;5;2;10;1;1;10;3;2;2;2;3;3; 
20;4;3;10;2;2;9;3;2;2;2;3;3; 
180;1;2;10;1;3;8;3;2;2;2;3;3; 
270;4;1;10;2;3;9;3;2;2;2;3;3; 
120;5;2;5;5;2;3;6;1;2;2;3;3; 
60;5;1;5;2;4;5;5;6;2;2;3;3; 
60;5;3;5;3;3;7;4;1;2;2;3;3; 
150;5;2;8;2;3;8;3;2;2;2;3;3; 
150;5;2;5;3;2;8;5;1;2;2;3;3; 
105;1;2;10;3;3;10;3;2;2;2;4;3; 
40;5;2;5;1;2;6;3;2;2;2;4;3; 
90;5;2;10;2;3;5;99;2;2;2;4;3; 
70;5;3;8;1;3;8;3;2;2;2;4;3; 
20;5;4;8;2;2;4;5;1;2;2;4;3; 
30;5;3;0;1;1;5;4;2;2;2;4;3; 
60;4;3;5;2;2;10;3;2;2;2;4;3; 
270;2;2;10;3;2;6;3;2;2;2;4;3; 
40;4;3;5;3;3;5;5;1;2;2;4;3; 
90;4;1;6;2;2;4;6;9;2;2;4;3; 
90;1;3;0;1;3;5;5;2;2;2;4;3; 
330;5;2;10;1;2;99;3;2;2;2;4;3; 
60;5;3;99;3;1;8;4;1;2;2;4;3; 
60;3;2;8;3;3;7;3;2;2;2;4;3; 
30;4;2;3;1;2;6;4;2;2;2;4;3; 
9999;5;4;3;4;2;2;7;2;2;2;4;3; 
15;5;4;5;1;3;5;4;6;2;2;4;3; 
60;5;3;5;1;1;8;4;1;2;2;4;3; 
105;5;3;5;4;2;3;3;2;2;2;4;3; 
180;5;2;0;2;3;6;3;2;2;2;4;3; 
240;5;2;10;3;2;9;3;2;2;2;4;3; 
30;4;3;5;3;2;5;4;2;2;2;4;3; 
60;3;2;7;4;2;7;3;2;2;2;4;3; 
15;5;4;5;4;2;2;7;1;2;2;4;3; 
30;3;2;10;2;2;5;4;2;2;2;4;3; 
60;5;2;6;2;3;8;3;2;2;2;4;3; 
15;5;3;10;2;2;10;1;2;2;2;4;3; 
5;5;3;5;2;4;10;4;2;2;2;4;3; 
120;1;2;5;3;3;3;4;2;2;2;4;3; 
60;5;2;4;2;3;6;7;2;2;2;4;3; 
10;5;4;8;2;2;8;3;2;2;2;4;3; 
60;3;3;5;2;2;8;3;2;2;2;4;3; 
100;5;2;5;1;2;5;5;2;2;2;4;3; 
60;5;2;5;2;2;6;5;2;2;2;4;3; 
30;1;3;5;2;2;7;3;2;2;2;4;3; 
20;3;4;5;3;3;3;5;2;2;2;4;3; 
130;3;3;9;3;3;7;5;2;2;2;4;3; 
70;5;3;0;3;3;6;5;2;2;2;4;3; 
240;5;3;5;3;2;5;4;1;2;2;4;3; 
60;2;3;10;2;2;5;6;2;2;2;4;3; 
30;5;3;5;4;2;8;3;1;2;2;4;3; 
45;2;2;4;4;2;4;3;9;2;2;4;3; 
30;5;3;5;3;2;6;5;2;2;2;4;3; 
30;1;4;5;3;2;8;3;2;2;2;4;3; 
120;5;2;10;1;2;8;3;2;2;2;4;3; 
30;5;3;4;3;2;3;5;2;2;2;4;3; 
60;1;3;10;1;2;8;3;2;2;2;4;3; 
60;4;3;5;3;2;6;3;2;2;2;4;3; 
90;3;3;9;2;2;2;6;1;2;2;4;3; 
15;5;2;5;4;4;8;3;2;2;2;4;3; 
140;1;2;5;2;2;8;4;2;2;2;4;3; 
130;5;2;5;2;2;5;5;2;2;2;4;3; 
30;5;3;5;4;2;3;3;1;2;2;4;3; 
60;5;3;5;3;3;7;4;2;2;2;4;3; 
60;1;4;1;9;2;7;3;2;2;2;4;3; 
5;5;3;5;3;2;4;5;2;2;2;4;3; 
200;9;2;10;1;3;10;3;2;2;2;4;3; 
90;4;2;8;2;2;8;4;2;2;2;4;3; 
60;5;2;2;1;3;7;3;2;2;2;4;3; 
130;3;2;5;1;3;10;3;2;2;2;4;3; 
90;1;2;10;1;3;7;3;2;2;2;4;3; 
180;4;2;1;2;9;2;4;1;2;2;4;3; 
30;2;2;10;1;2;8;2;2;2;2;4;3; 
20;5;3;5;4;4;2;5;1;2;2;4;3; 
90;5;2;5;2;3;5;5;1;2;2;4;3; 
40;5;3;2;1;2;5;4;2;2;2;4;3; 
80;3;3;5;2;2;5;3;2;2;2;4;3; 
90;5;2;10;3;3;7;5;6;2;2;4;3; 
